ID,VIN,Prix,Kilometrage
CARS_0323,1C4RJFBGXMC879609,25190,41636
CARS_0324,5J8TC2H65ML025782,28977,41754
CARS_0325,5UX53DP05R9W10722,44895,13025
CARS_0326,2HGFE2F5XPH516142,23000,40080
CARS_0327,1GYKNGRS8PZ214760,35900,39280
CARS_0328,5UX53DP00P9P84839,34998,29125
CARS_0329,5J8YE1H47RL016761,39700,33771
CARS_0330,5J8YE1H49NL037685,33595,51782
CARS_0331,2C4RC1BG0PR535327,19998,75449
CARS_0332,5UX53DP01N9J18280,30767,29641
CARS_0333,2C4RC1GG9KR731784,11495,161345
CARS_0334,WBX57DP05NN168809,28839,50007
CARS_0335,5J8YE1H42PL007334,40776,29520
CARS_0336,1N4BL4DW7LC171097,15698,44401
CARS_0337,3MZBPABMXPM358852,17784,47251
CARS_0338,5NMS2DAJ3NH451917,22999,16446
CARS_0339,1C6SRFJP9SN592265,43500,26402
CARS_0340,3TMCZ5AN7KM271132,28995,77428
CARS_0341,5UXTY5C06L9B52977,21250,67553
CARS_0342,2C3CDZFJXPH654553,52990,1884
CARS_0343,3VV2B7AX6RM204966,24900,20764
CARS_0344,W1K6G6DB3NA165472,62548,28952
CARS_0345,JM1BM1M36E1208280,7777,157773
CARS_0346,2C4RC1BG2NR116800,23450,44084
CARS_0347,2T2BBMCA0RC041922,49777,45167
CARS_0348,3VV2B7AX5MM157616,18806,46310
CARS_0349,1C4RJFBG3JC334606,20000,41855
CARS_0350,W1K6G7GB7NA128619,76959,41564
CARS_0351,1V2FR2CA7PC555079,36999,22327
CARS_0352,5NMP5DGLXRH054068,38296,7795
CARS_0353,5UXTY5C06M9G20840,18997,58879
CARS_0354,WA1LAAF76KD046992,26990,29775
CARS_0355,3TMCZ5ANXNM527526,41539,33406
CARS_0356,1C4PJXFG1RW307678,41995,33338
CARS_0357,5XYP3DGC0RG426095,35495,34242
CARS_0358,3TMCZ5AN3PM652385,36311,16415
CARS_0359,1N4BL4FWXNN397400,20950,24887
CARS_0360,5J8TB4H36JL021420,14607,128957
CARS_0361,1GYS4BKL1NR358169,60222,30055
CARS_0362,1GYS4EKL2NR117609,74900,25800
